,總指數,一.食物類,二.衣著類,三.居住類,四.交通及通訊類,五.醫藥保健類,六.教養娛樂類,七.雜項類
2001-M11,82.55,64.64,96.34,92.04,94.1,72.99,97.79,71.38
2001-M12,81.11,61.65,93.02,91.89,92.89,72.83,97.74,71.07
2002-M1,81.43,62.46,84.56,91.74,92.8,72.76,98.4,75.08
2002-M2,82.42,62.8,79.79,92.3,93.24,72.84,98.64,84.24
2002-M3,81.06,62.39,78.89,91.49,92.97,71.91,98.14,75.35
2002-M4,81.89,62.54,94.4,91.44,93.37,71.98,98.15,75.76
2002-M5,81.49,61.68,92.79,91.38,93.4,71.93,98.05,75.92
2002-M6,81.74,62.1,90.38,92.17,92.51,71.9,98.2,76.7
2002-M7,81.75,63.27,84.4,92.07,92.45,71.83,98.65,74.89
2002-M8,81.72,63.82,80.52,92.01,92.67,71.87,98.4,74.63
2002-M9,81.66,63.01,79.03,92.08,93.06,75.48,98.15,75.88
2002-M10,82.12,63.13,95.05,91.16,93.5,75.55,98.16,74.64
2002-M11,82.09,63.1,95.71,91.03,93.79,75.38,97.79,74.71
2002-M12,81.74,62.57,93.15,90.94,93.61,75.46,97.72,74.73
2003-M1,82.31,63.56,84.63,91.0,94.18,75.38,97.71,80.46
2003-M2,81.17,62.03,81.26,90.9,94.08,75.67,97.6,75.53
2003-M3,80.91,61.16,80.89,90.83,94.92,75.59,97.61,75.32
2003-M4,81.79,62.09,98.14,90.8,93.71,75.56,97.24,75.97
2003-M5,81.75,62.79,95.79,90.61,93.36,75.68,96.15,76.35
2003-M6,81.28,62.06,90.62,91.11,93.12,75.54,95.77,75.75
2003-M7,80.94,61.86,84.38,91.05,93.29,75.39,96.3,74.72
2003-M8,81.24,62.79,81.39,90.98,93.91,75.52,96.72,74.62
2003-M9,81.49,63.23,80.85,91.0,93.86,75.64,97.05,75.45
2003-M10,82.07,64.22,94.25,90.37,93.46,75.67,97.12,74.39
2003-M11,81.71,63.13,95.73,90.29,93.32,75.67,96.96,74.48
2003-M12,81.69,63.36,93.09,90.23,93.33,75.78,96.88,74.87
2004-M1,82.32,62.72,87.21,90.61,94.39,75.74,97.46,83.52
2004-M2,81.69,63.61,83.79,90.25,94.97,76.63,96.73,75.88
2004-M3,81.63,63.69,82.69,90.25,94.91,76.69,96.48,75.94
2004-M4,82.57,63.98,100.17,90.28,95.64,76.85,96.79,75.95
2004-M5,82.49,63.72,97.69,90.25,95.73,77.06,96.85,76.9
2004-M6,82.69,63.85,94.36,90.87,95.72,77.38,97.09,77.75
2004-M7,83.63,67.72,88.83,90.85,95.88,77.25,97.41,75.81
2004-M8,83.31,67.25,85.56,90.89,96.0,77.39,97.34,75.07
2004-M9,83.76,68.41,84.9,90.93,96.1,77.36,97.21,75.99
2004-M10,84.03,68.35,97.12,90.5,96.39,77.3,97.1,75.01
2004-M11,82.95,65.27,97.38,90.55,96.35,77.35,96.85,74.72
2004-M12,83.01,65.47,94.74,90.62,96.34,77.69,97.13,74.95
2005-M1,82.72,65.2,89.34,90.54,96.23,77.59,97.5,75.18
2005-M2,83.27,65.09,85.43,90.88,96.5,77.84,97.41,81.85
2005-M3,83.51,68.02,84.67,90.61,96.89,78.43,96.62,75.34
2005-M4,83.93,67.54,98.3,90.6,96.91,78.88,96.52,75.58
2005-M5,84.39,68.83,98.76,90.69,96.76,78.9,96.29,76.02
2005-M6,84.66,69.19,94.97,91.27,96.46,80.01,96.42,77.22
2005-M7,85.65,72.85,88.59,91.28,96.96,81.17,96.73,75.66
2005-M8,86.28,74.72,84.83,91.36,98.16,82.53,96.67,75.39
2005-M9,86.41,74.76,83.83,91.37,98.28,82.54,96.89,76.39
2005-M10,86.34,74.16,95.23,90.85,97.17,82.82,96.98,75.44
2005-M11,85.03,70.39,96.24,90.9,96.61,82.78,96.88,75.35
2005-M12,84.84,70.14,92.77,90.92,96.52,82.98,96.87,75.81
