總指數,一.食物類,二.衣著類,三.居住類,四.交通及通訊類,五.醫藥保健類,六.教養娛樂類,七.雜項類
104.32,108.41,99.53,103.38,103.56,102.46,103.32,103.03
105.11,108.82,105.16,103.66,104.14,102.77,104.36,103.72
105.04,109.07,104.29,103.74,103.73,102.93,103.63,104.05
105.16,108.33,103.08,105.03,103.86,102.93,104.12,103.95
105.26,108.17,102.78,105.18,104.34,103.88,104.43,103.69
105.85,110.17,101.16,105.32,105.37,103.83,104.32,103.67
106.52,112.36,100.55,105.51,105.36,104.29,104.19,104.3
106.92,113.34,108.8,104.54,104.8,104.44,104.99,103.66
106.62,112.87,106.56,104.66,104.28,104.66,104.7,103.78
106.58,112.33,105.79,104.75,104.08,104.73,105.23,104.32
106.59,112.24,103.59,105.03,104.43,105.13,104.96,104.75
107.26,112.16,101.77,105.29,104.89,105.66,107.47,107.18
106.56,111.51,101.11,105.38,104.9,105.73,105.28,105.4
107.15,111.63,104.88,105.82,104.86,106.39,106.0,106.33
107.38,112.78,104.06,106.14,104.67,106.48,105.25,106.58
107.71,112.83,103.5,107.42,104.81,106.82,105.85,106.11
107.92,113.13,102.81,107.61,105.26,107.27,106.38,105.86
108.34,115.27,100.79,107.71,105.37,107.18,106.19,105.65
108.46,115.74,100.71,108.02,104.66,107.07,106.0,106.15
108.73,116.39,108.02,106.88,104.05,107.13,106.32,106.12
108.84,117.19,106.42,107.09,103.81,106.89,106.02,106.36
108.82,116.91,104.88,107.25,103.76,107.29,106.21,106.94
109.44,116.43,102.7,107.53,104.99,107.56,108.6,109.14
109.0,116.7,101.17,107.61,104.7,107.77,106.27,108.47
109.05,116.98,100.79,107.72,104.43,108.06,106.14,108.68
109.33,116.49,104.76,107.83,104.1,108.61,106.76,109.35
109.03,116.27,103.48,108.07,103.0,108.69,106.48,109.17
109.17,116.0,102.55,109.33,103.37,108.77,106.49,108.4
109.57,116.41,101.58,109.51,104.29,108.98,107.93,107.96
110.07,118.92,99.93,109.67,103.96,109.06,107.57,108.37
109.82,118.79,99.78,109.77,102.54,109.14,107.01,108.83
110.33,118.72,108.46,109.03,102.59,108.97,107.86,109.42
110.16,118.91,106.21,109.08,102.64,108.86,107.35,109.27
110.24,118.37,105.82,109.26,102.37,108.93,108.0,110.43
110.22,117.78,104.23,109.54,102.97,109.3,107.65,111.23
110.91,116.95,102.03,109.85,103.79,109.58,111.08,113.94
110.36,116.72,101.81,109.89,104.48,109.67,108.4,112.15
111.23,117.17,105.61,110.05,106.87,109.73,109.36,112.06
